Name,Surname,City,Email,Phone,Source,Replied,Technology,Moodle Ready,Pre-selection Status,Interview Date,Interview Result,Selection Result
Camey,Staining,Nis,camey.staining@example.com,905 498 8842,InMail,YES,Dotnet,YES,OVERDUE,,,
Cassey,Steaning,Nis,cassey.steaning@example.com,863 433 4629,InMail,YES,Java,YES,OVERDUE,,,
Aidan,Kenaway,Nis,aidan.kenaway@example.com,820 671 4348,InMail,YES,QA,YES,TO BE INVITED,05-03-20,FAILED,REJECTED
Nikolaus,Tennet,Nis,nikolaus.tennet@example.com,605 996 2884,InMail,YES,Dotnet,YES,TO BE INVITED,18-03-20,FAILED,REJECTED
Porty,Cowern,Nis,porty.cowern@example.com,408 886 7491,InMail,YES,Dotnet,YES,OVERDUE,,,
Beltran,Izaac,Nis,beltran.izaac@example.com,349 714 9970,InMail,NO,,,,,,REFUSED
Dierdre,Cargon,Nis,dierdre.cargon@example.com,313 430 1456,InMail,YES,Dotnet,YES,OVERDUE,,,
Nannie,Monte,Plovdiv,nannie.monte@example.com,792 267 8085,InMail,YES,FrontEnd,YES,OVERDUE,,,
Tybalt,Stockney,Plovdiv,tybalt.stockney@example.com,563 386 8504,InMail,YES,FrontEnd,YES,OVERDUE,,,
Thurstan,Newling,Plovdiv,thurstan.newling@example.com,318 332 9353,InMail,YES,FrontEnd,YES,OVERDUE,,,
Shanta,Franssen,Plovdiv,shanta.franssen@example.com,475 788 0019,InMail,YES,FrontEnd,YES,LOW SCORE,,,
Lola,Lared,Plovdiv,lola.lared@example.com,274 858 0872,InMail,YES,FrontEnd,YES,TO BE INVITED,20-03-20,PASSED,ACCEPTED
Essy,Jodrellec,Plovdiv,essy.jodrellec@example.com,678 107 5536,InMail,YES,FrontEnd,YES,LOW SCORE,,,
Lizette,Renzo,Nis,lizette.renzo@example.com,406 965 4024,InMail,YES,Dotnet,YES,OVERDUE,,,
Daria,Honnicott,Nis,daria.honnicott@example.com,772 344 0074,InMail,YES,Java,YES,OVERDUE,,,
Letizia,Busst,Plovdiv,letizia.busst@example.com,351 847 2038,InMail,YES,Dotnet,YES,OVERDUE,,,
Delinda,Corcut,Varna,delinda.corcut@example.com,836 358 9872,InMail,YES,FrontEnd,YES,OVERDUE,,,
Harmonie,Towler,Nis,harmonie.towler@example.com,344 614 1063,InMail,YES,Java,YES,OVERDUE,,,
Victoir,Simmans,Plovdiv,victoir.simmans@example.com,541 288 0955,InMail,YES,FrontEnd,YES,LOW SCORE,,,
Tarrah,Castletine,Plovdiv,tarrah.castletine@example.com,265 158 9341,InMail,YES,FrontEnd,YES,OVERDUE,,,
Marjory,Worgan,Plovdiv,marjory.worgan@example.com,696 751 3625,InMail,YES,FrontEnd,YES,OVERDUE,,,
Tobie,Deluca,Nis,tobie.deluca@example.com,415 685 2476,InMail,YES,Java,YES,LOW SCORE,,,
Alysa,Stowell,Plovdiv,alysa.stowell@example.com,407 925 3869,InMail,YES,Java,YES,OVERDUE,,,
Susie,Keenlyside,Plovdiv,susie.keenlyside@example.com,943 968 1729,InMail,YES,Java,YES,LOW SCORE,,,
Angelita,Lipgens,Plovdiv,angelita.lipgens@example.com,670 712 1996,InMail,YES,Java,YES,TO BE INVITED,27-03-20,PASSED,ACCEPTED
Heall,Wardale,Plovdiv,heall.wardale@example.com,504 784 8070,InMail,YES,FrontEnd,YES,OVERDUE,,,
Shelley,Jedrysik,Plovdiv,shelley.jedrysik@example.com,662 601 4609,InMail,YES,FrontEnd,YES,OVERDUE,,,
George,Assinder,Plovdiv,george.assinder@example.com,901 132 8811,InMail,YES,FrontEnd,YES,OVERDUE,,,
Avram,Heifer,Nis,avram.heifer@example.com,458 296 1746,InMail,YES,Dotnet,YES,LOW SCORE,,,
Garwood,Rolfi,Plovdiv,garwood.rolfi@example.com,533 158 8895,InMail,YES,Dotnet,YES,TO BE INVITED,23-03-20,PASSED,ACCEPTED
Decca,Durrant,Plovdiv,decca.durrant@example.com,757 456 0620,InMail,YES,FrontEnd,YES,OVERDUE,,,
Keelia,Cuttle,Sofia,keelia.cuttle@example.com,503 301 5700,InMail,YES,Dotnet,YES,LOW SCORE,,,REJECTED
Dag,Banham,Plovdiv,dag.banham@example.com,915 725 4059,InMail,YES,FrontEnd,YES,OVERDUE,,,
Jethro,Dowyer,Plovdiv,jethro.dowyer@example.com,265 280 2316,InMail,YES,FrontEnd,YES,OVERDUE,,,
Charlena,Hammond,Plovdiv,charlena.hammond@example.com,940 937 1796,InMail,YES,FrontEnd,YES,TO BE INVITED,30-03-20,FAILED,REJECTED
Grant,Gravestone,Plovdiv,grant.gravestone@example.com,616 441 1593,InMail,YES,QA,YES,TO BE INVITED,24-03-20,FAILED,REJECTED
Teodora,Binnion,Plovdiv,teodora.binnion@example.com,580 308 4485,InMail,YES,FrontEnd,YES,OVERDUE,,,
Edith,Caroll,Nis,edith.caroll@example.com,873 114 2201,InMail,YES,Java,YES,OVERDUE,,,
Buiron,MacDuff,Plovdiv,buiron.macduff@example.com,453 297 8505,InMail,YES,FrontEnd,YES,OVERDUE,,,
Shirley,Durnill,Plovdiv,shirley.durnill@example.com,797 159 2429,InMail,YES,Java,,LOW SCORE,,,
Marcus,Mapston,Plovdiv,marcus.mapston@example.com,473 732 8262,InMail,YES,FrontEnd,YES,OVERDUE,,,
Kacie,Lamperd,Plovdiv,kacie.lamperd@example.com,184 782 5762,InMail,YES,FrontEnd,YES,LOW SCORE,,,
Franciska,Nutt,Veliko Tarnovo,franciska.nutt@example.com,960 315 3563,InMail,YES,FrontEnd,YES,OVERDUE,,,
Gib,Dunbobin,Plovdiv,gib.dunbobin@example.com,686 239 8192,InMail,YES,Dotnet,YES,LOW SCORE,,,
Mabelle,Pretor,,mabelle.pretor@example.com,759 601 7615,InMail,YES,Dotnet,YES,OVERDUE,,,
